"GEO_ID","NAME","B05012_001E","B05012_001EA","B05012_001M","B05012_001MA","B05012_002E","B05012_002EA","B05012_002M","B05012_002MA","B05012_003E","B05012_003EA","B05012_003M","B05012_003MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!Native","Annotation of Estimate!!Total!!Native","Margin of Error!!Total!!Native","Annotation of Margin of Error!!Total!!Native","Estimate!!Total!!Foreign-Born","Annotation of Estimate!!Total!!Foreign-Born","Margin of Error!!Total!!Foreign-Born","Annotation of Margin of Error!!Total!!Foreign-Born",
"0500000US36041","Hamilton County, New York","4697","null","*****","*****","4570","null","65","null","127","null","65","null",
"0500000US36043","Herkimer County, New York","63558","null","*****","*****","61711","null","325","null","1847","null","325","null",
"0500000US36045","Jefferson County, New York","117966","null","*****","*****","113540","null","475","null","4426","null","475","null",
"0500000US36047","Kings County, New York","2606852","null","*****","*****","1636299","null","6696","null","970553","null","6696","null",
"0500000US36049","Lewis County, New York","27107","null","*****","*****","26676","null","95","null","431","null","95","null",
"0500000US36051","Livingston County, New York","64622","null","*****","*****","62468","null","233","null","2154","null","233","null",
"0500000US36053","Madison County, New York","72089","null","*****","*****","70283","null","247","null","1806","null","247","null",
"0500000US36055","Monroe County, New York","749236","null","*****","*****","685845","null","2128","null","63391","null","2128","null",
"0500000US36057","Montgomery County, New York","49667","null","*****","*****","47982","null","265","null","1685","null","265","null",
"0500000US36059","Nassau County, New York","1356801","null","*****","*****","1060722","null","3969","null","296079","null","3969","null",
"0500000US36061","New York County, New York","1634989","null","*****","*****","1162585","null","6549","null","472404","null","6549","null",
"0500000US36063","Niagara County, New York","213374","null","*****","*****","204936","null","646","null","8438","null","646","null",
"0500000US36065","Oneida County, New York","232858","null","*****","*****","215055","null","940","null","17803","null","940","null",
"0500000US36067","Onondaga County, New York","468050","null","*****","*****","433543","null","1228","null","34507","null","1228","null",
"0500000US36069","Ontario County, New York","109450","null","*****","*****","105340","null","455","null","4110","null","455","null",
"0500000US36071","Orange County, New York","376242","null","*****","*****","335529","null","1609","null","40713","null","1609","null",
"0500000US36073","Orleans County, New York","41938","null","*****","*****","40474","null","224","null","1464","null","224","null",
"0500000US36075","Oswego County, New York","120513","null","*****","*****","118233","null","229","null","2280","null","229","null",
"0500000US36077","Otsego County, New York","60979","null","*****","*****","58794","null","280","null","2185","null","280","null",
"0500000US36079","Putnam County, New York","99408","null","*****","*****","86853","null","1072","null","12555","null","1072","null",
"0500000US36081","Queens County, New York","2310011","null","*****","*****","1211991","null","6034","null","1098020","null","6034","null",
"0500000US36083","Rensselaer County, New York","159959","null","*****","*****","152375","null","653","null","7584","null","653","null",
"0500000US36085","Richmond County, New York","473324","null","*****","*****","369797","null","2187","null","103527","null","2187","null",
"0500000US36087","Rockland County, New York","322642","null","*****","*****","253960","null","1839","null","68682","null","1839","null",
"0500000US36089","St. Lawrence County, New York","111529","null","*****","*****","106798","null","421","null","4731","null","421","null",
"0500000US36091","Saratoga County, New York","224929","null","*****","*****","213440","null","776","null","11489","null","776","null",
"0500000US36093","Schenectady County, New York","154845","null","*****","*****","139023","null","1108","null","15822","null","1108","null",
"0500000US36095","Schoharie County, New York","31667","null","*****","*****","30739","null","135","null","928","null","135","null",
"0500000US36097","Schuyler County, New York","18336","null","*****","*****","17976","null","118","null","360","null","118","null",
"0500000US36099","Seneca County, New York","35036","null","*****","*****","34166","null","152","null","870","null","152","null",
"0500000US36101","Steuben County, New York","98151","null","*****","*****","95852","null","201","null","2299","null","201","null",
"0500000US36103","Suffolk County, New York","1498130","null","*****","*****","1267310","null","3623","null","230820","null","3623","null",
"0500000US36105","Sullivan County, New York","75818","null","*****","*****","68462","null","535","null","7356","null","535","null",
"0500000US36107","Tioga County, New York","49649","null","*****","*****","48542","null","248","null","1107","null","248","null",
"0500000US36109","Tompkins County, New York","104268","null","*****","*****","90935","null","853","null","13333","null","853","null",
"0500000US36111","Ulster County, New York","180505","null","*****","*****","166775","null","773","null","13730","null","773","null",
"0500000US36113","Warren County, New York","64911","null","*****","*****","62705","null","322","null","2206","null","322","null",
"0500000US36115","Washington County, New York","62465","null","*****","*****","61082","null","263","null","1383","null","263","null",
"0500000US36117","Wayne County, New York","91874","null","*****","*****","89418","null","324","null","2456","null","324","null",
"0500000US36119","Westchester County, New York","969229","null","*****","*****","721819","null","3644","null","247410","null","3644","null",
"0500000US36121","Wyoming County, New York","41239","null","*****","*****","40495","null","149","null","744","null","149","null",
"0500000US36123","Yates County, New York","25106","null","*****","*****","24493","null","198","null","613","null","198","null",
"0500000US37001","Alamance County, North Carolina","156372","null","*****","*****","143646","null","554","null","12726","null","554","null",
"0500000US37003","Alexander County, North Carolina","37211","null","*****","*****","36210","null","225","null","1001","null","225","null",
"0500000US37005","Alleghany County, North Carolina","10868","null","*****","*****","10274","null","104","null","594","null","104","null",
"0500000US37007","Anson County, North Carolina","25883","null","*****","*****","25014","null","90","null","869","null","90","null",
