"GEO_ID","NAME","B05012_001E","B05012_001EA","B05012_001M","B05012_001MA","B05012_002E","B05012_002M","B05012_002MA","B05012_002EA","B05012_003E","B05012_003M","B05012_003MA","B05012_003EA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!Native","Margin of Error!!Total!!Native","Annotation of Margin of Error!!Total!!Native","Annotation of Estimate!!Total!!Native","Estimate!!Total!!Foreign-Born","Margin of Error!!Total!!Foreign-Born","Annotation of Margin of Error!!Total!!Foreign-Born","Annotation of Estimate!!Total!!Foreign-Born",
"0500000US48427","Starr County, Texas","63894","null","*****","*****","44642","1079","null","null","19252","1079","null","null",
"0500000US48429","Stephens County, Texas","9372","null","*****","*****","8958","170","null","null","414","170","null","null",
"0500000US48431","Sterling County, Texas","1141","null","137","null","1073","138","null","null","68","41","null","null",
"0500000US48433","Stonewall County, Texas","1385","null","118","null","1377","119","null","null","8","10","null","null",
"0500000US48435","Sutton County, Texas","3865","null","*****","*****","3339","184","null","null","526","184","null","null",
"0500000US48437","Swisher County, Texas","7484","null","*****","*****","6762","254","null","null","722","254","null","null",
"0500000US48439","Tarrant County, Texas","2019977","null","*****","*****","1695990","4868","null","null","323987","4868","null","null",
"0500000US48441","Taylor County, Texas","136348","null","*****","*****","128218","857","null","null","8130","857","null","null",
"0500000US48443","Terrell County, Texas","862","null","187","null","833","181","null","null","29","25","null","null",
"0500000US48445","Terry County, Texas","12615","null","*****","*****","11301","257","null","null","1314","257","null","null",
"0500000US48447","Throckmorton County, Texas","1567","null","153","null","1561","151","null","null","6","6","null","null",
"0500000US48449","Titus County, Texas","32730","null","*****","*****","26305","431","null","null","6425","431","null","null",
"0500000US48451","Tom Green County, Texas","117466","null","*****","*****","109740","791","null","null","7726","791","null","null",
"0500000US48453","Travis County, Texas","1203166","null","*****","*****","990287","3927","null","null","212879","3927","null","null",
"0500000US48455","Trinity County, Texas","14569","null","*****","*****","13890","235","null","null","679","235","null","null",
"0500000US48457","Tyler County, Texas","21496","null","*****","*****","21042","110","null","null","454","110","null","null",
"0500000US48459","Upshur County, Texas","40769","null","*****","*****","39339","223","null","null","1430","223","null","null",
"0500000US48461","Upton County, Texas","3634","null","*****","*****","3250","112","null","null","384","112","null","null",
"0500000US48463","Uvalde County, Texas","27009","null","*****","*****","23542","610","null","null","3467","610","null","null",
"0500000US48465","Val Verde County, Texas","49027","null","*****","*****","38212","732","null","null","10815","732","null","null",
"0500000US48467","Van Zandt County, Texas","54368","null","*****","*****","51987","433","null","null","2381","433","null","null",
"0500000US48469","Victoria County, Texas","91970","null","*****","*****","85824","650","null","null","6146","650","null","null",
"0500000US48471","Walker County, Texas","71539","null","*****","*****","65546","712","null","null","5993","712","null","null",
"0500000US48473","Waller County, Texas","49987","null","*****","*****","42602","555","null","null","7385","555","null","null",
"0500000US48475","Ward County, Texas","11586","null","*****","*****","10580","227","null","null","1006","227","null","null",
"0500000US48477","Washington County, Texas","34796","null","*****","*****","32134","349","null","null","2662","349","null","null",
"0500000US48479","Webb County, Texas","272053","null","*****","*****","200653","2074","null","null","71400","2074","null","null",
"0500000US48481","Wharton County, Texas","41551","null","*****","*****","37169","685","null","null","4382","685","null","null",
"0500000US48483","Wheeler County, Texas","5482","null","*****","*****","5040","112","null","null","442","112","null","null",
"0500000US48485","Wichita County, Texas","131818","null","*****","*****","122907","798","null","null","8911","798","null","null",
"0500000US48487","Wilbarger County, Texas","12906","null","*****","*****","12337","180","null","null","569","180","null","null",
"0500000US48489","Willacy County, Texas","21754","null","*****","*****","18085","509","null","null","3669","509","null","null",
"0500000US48491","Williamson County, Texas","527057","null","*****","*****","462984","2352","null","null","64073","2352","null","null",
"0500000US48493","Wilson County, Texas","48198","null","*****","*****","45782","433","null","null","2416","433","null","null",
"0500000US48495","Winkler County, Texas","7802","null","*****","*****","6673","242","null","null","1129","242","null","null",
"0500000US48497","Wise County, Texas","64639","null","*****","*****","59969","518","null","null","4670","518","null","null",
"0500000US48499","Wood County, Texas","43815","null","*****","*****","42209","329","null","null","1606","329","null","null",
"0500000US48501","Yoakum County, Texas","8571","null","*****","*****","6618","450","null","null","1953","450","null","null",
"0500000US48503","Young County, Texas","18114","null","*****","*****","17034","258","null","null","1080","258","null","null",
"0500000US48505","Zapata County, Texas","14369","null","*****","*****","10497","627","null","null","3872","627","null","null",
"0500000US48507","Zavala County, Texas","12131","null","*****","*****","11107","283","null","null","1024","283","null","null",
"0500000US49001","Beaver County, Utah","6443","null","*****","*****","6045","77","null","null","398","77","null","null",
"0500000US49003","Box Elder County, Utah","53001","null","*****","*****","51212","249","null","null","1789","249","null","null",
"0500000US49005","Cache County, Utah","122336","null","*****","*****","113893","596","null","null","8443","596","null","null",
"0500000US49007","Carbon County, Utah","20356","null","*****","*****","19731","182","null","null","625","182","null","null",
"0500000US49009","Daggett County, Utah","612","null","168","null","595","161","null","null","17","17","null","null",
"0500000US49011","Davis County, Utah","340621","null","*****","*****","325047","964","null","null","15574","964","null","null",
"0500000US49013","Duchesne County, Utah","20219","null","*****","*****","19579","83","null","null","640","83","null","null",
"0500000US49015","Emery County, Utah","10248","null","*****","*****","10018","87","null","null","230","87","null","null",
"0500000US49017","Garfield County, Utah","5017","null","*****","*****","4821","76","null","null","196","76","null","null",
