"GEO_ID","NAME","B05012_001E","B05012_001M","B05012_001MA","B05012_001EA","B05012_002E","B05012_002EA","B05012_002M","B05012_002MA","B05012_003E","B05012_003M","B05012_003MA","B05012_003EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Native","Annotation of Estimate!!Total!!Native","Margin of Error!!Total!!Native","Annotation of Margin of Error!!Total!!Native","Estimate!!Total!!Foreign-Born","Margin of Error!!Total!!Foreign-Born","Annotation of Margin of Error!!Total!!Foreign-Born","Annotation of Estimate!!Total!!Foreign-Born",
"0100000US","United States","311536594","*****","*****","null","271194696","null","95540","null","40341898","95602","null","null",
"0500000US01001","Autauga County, Alabama","54907","*****","*****","null","54019","null","277","null","888","277","null","null",
"0500000US01003","Baldwin County, Alabama","187114","*****","*****","null","180308","null","802","null","6806","802","null","null",
"0500000US01005","Barbour County, Alabama","27321","*****","*****","null","26517","null","145","null","804","145","null","null",
"0500000US01007","Bibb County, Alabama","22754","*****","*****","null","22486","null","86","null","268","86","null","null",
"0500000US01009","Blount County, Alabama","57623","*****","*****","null","55122","null","262","null","2501","262","null","null",
"0500000US01011","Bullock County, Alabama","10746","*****","*****","null","10170","null","484","null","576","484","null","null",
"0500000US01013","Butler County, Alabama","20624","*****","*****","null","20467","null","91","null","157","91","null","null",
"0500000US01015","Calhoun County, Alabama","117714","*****","*****","null","114892","null","392","null","2822","392","null","null",
"0500000US01017","Chambers County, Alabama","34145","*****","*****","null","33786","null","101","null","359","101","null","null",
"0500000US01019","Cherokee County, Alabama","26034","*****","*****","null","25849","null","106","null","185","106","null","null",
"0500000US01021","Chilton County, Alabama","43744","*****","*****","null","41462","null","252","null","2282","252","null","null",
"0500000US01023","Choctaw County, Alabama","13687","*****","*****","null","13646","null","34","null","41","34","null","null",
"0500000US01025","Clarke County, Alabama","25573","*****","*****","null","25502","null","66","null","71","66","null","null",
"0500000US01027","Clay County, Alabama","13703","*****","*****","null","13403","null","33","null","300","33","null","null",
"0500000US01029","Cleburne County, Alabama","14945","*****","*****","null","14728","null","108","null","217","108","null","null",
"0500000US01031","Coffee County, Alabama","50468","*****","*****","null","47918","null","351","null","2550","351","null","null",
"0500000US01033","Colbert County, Alabama","54456","*****","*****","null","53381","null","294","null","1075","294","null","null",
"0500000US01035","Conecuh County, Alabama","13104","*****","*****","null","13029","null","33","null","75","33","null","null",
"0500000US01037","Coosa County, Alabama","11198","*****","*****","null","11001","null","52","null","197","52","null","null",
"0500000US01039","Covington County, Alabama","37847","*****","*****","null","37332","null","104","null","515","104","null","null",
"0500000US01041","Crenshaw County, Alabama","13955","*****","*****","null","13631","null","54","null","324","54","null","null",
"0500000US01043","Cullman County, Alabama","80499","*****","*****","null","78076","null","349","null","2423","349","null","null",
"0500000US01045","Dale County, Alabama","50102","*****","*****","null","48227","null","296","null","1875","296","null","null",
"0500000US01047","Dallas County, Alabama","43091","*****","*****","null","42760","null","141","null","331","141","null","null",
"0500000US01049","DeKalb County, Alabama","71076","*****","*****","null","65731","null","352","null","5345","352","null","null",
"0500000US01051","Elmore County, Alabama","79895","*****","*****","null","78222","null","221","null","1673","221","null","null",
