"GEO_ID","NAME","B05012_001E","B05012_001M","B05012_001MA","B05012_001EA","B05012_002E","B05012_002M","B05012_002MA","B05012_002EA","B05012_003E","B05012_003EA","B05012_003M","B05012_003MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Native","Margin of Error!!Total!!Native","Annotation of Margin of Error!!Total!!Native","Annotation of Estimate!!Total!!Native","Estimate!!Total!!Foreign-Born","Annotation of Estimate!!Total!!Foreign-Born","Margin of Error!!Total!!Foreign-Born","Annotation of Margin of Error!!Total!!Foreign-Born",
"0500000US04013","Maricopa County, Arizona","3841819","*****","*****","null","3262683","6550","null","null","579136","null","6550","null",
"0500000US04015","Mohave County, Arizona","201216","*****","*****","null","187741","1007","null","null","13475","null","1007","null",
"0500000US04017","Navajo County, Arizona","107415","*****","*****","null","104173","525","null","null","3242","null","525","null",
"0500000US04019","Pima County, Arizona","981048","*****","*****","null","854367","3316","null","null","126681","null","3316","null",
"0500000US04021","Pinal County, Arizona","368374","*****","*****","null","331304","1822","null","null","37070","null","1822","null",
"0500000US04023","Santa Cruz County, Arizona","47057","*****","*****","null","31218","808","null","null","15839","null","808","null",
"0500000US04025","Yavapai County, Arizona","211280","*****","*****","null","196757","1132","null","null","14523","null","1132","null",
"0500000US04027","Yuma County, Arizona","196420","*****","*****","null","148286","1737","null","null","48134","null","1737","null",
"0500000US05001","Arkansas County, Arkansas","19029","*****","*****","null","18599","146","null","null","430","null","146","null",
"0500000US05003","Ashley County, Arkansas","21811","*****","*****","null","21403","89","null","null","408","null","89","null",
"0500000US05005","Baxter County, Arkansas","41387","*****","*****","null","40646","166","null","null","741","null","166","null",
"0500000US05007","Benton County, Arkansas","222028","*****","*****","null","198397","1055","null","null","23631","null","1055","null",
"0500000US05009","Boone County, Arkansas","37032","*****","*****","null","36556","235","null","null","476","null","235","null",
"0500000US05011","Bradley County, Arkansas","11510","*****","*****","null","10783","139","null","null","727","null","139","null",
"0500000US05013","Calhoun County, Arkansas","5373","*****","*****","null","5371","4","null","null","2","null","4","null",
"0500000US05015","Carroll County, Arkansas","27321","*****","*****","null","25486","186","null","null","1835","null","186","null",
"0500000US05017","Chicot County, Arkansas","11759","*****","*****","null","11441","94","null","null","318","null","94","null",
"0500000US05019","Clark County, Arkansas","23050","*****","*****","null","22587","117","null","null","463","null","117","null",
"0500000US05021","Clay County, Arkansas","15981","*****","*****","null","15879","48","null","null","102","null","48","null",
"0500000US05023","Cleburne County, Arkansas","25849","*****","*****","null","25364","194","null","null","485","null","194","null",
"0500000US05025","Cleveland County, Arkansas","8685","*****","*****","null","8655","32","null","null","30","null","32","null",
"0500000US05027","Columbia County, Arkansas","24644","*****","*****","null","23956","71","null","null","688","null","71","null",
"0500000US05029","Conway County, Arkansas","21203","*****","*****","null","20803","142","null","null","400","null","142","null",
"0500000US05031","Craighead County, Arkansas","96709","*****","*****","null","93531","339","null","null","3178","null","339","null",
"0500000US05033","Crawford County, Arkansas","61670","*****","*****","null","59220","273","null","null","2450","null","273","null",
"0500000US05035","Crittenden County, Arkansas","50618","*****","*****","null","49943","249","null","null","675","null","249","null",
"0500000US05037","Cross County, Arkansas","17891","*****","*****","null","17772","85","null","null","119","null","85","null",
"0500000US05039","Dallas County, Arkansas","8122","*****","*****","null","8064","50","null","null","58","null","50","null",
"0500000US05041","Desha County, Arkansas","12922","*****","*****","null","12628","63","null","null","294","null","63","null",
"0500000US05043","Drew County, Arkansas","18615","*****","*****","null","18269","170","null","null","346","null","170","null",
"0500000US05045","Faulkner County, Arkansas","113730","*****","*****","null","109988","410","null","null","3742","null","410","null",
"0500000US05047","Franklin County, Arkansas","18110","*****","*****","null","17978","80","null","null","132","null","80","null",
"0500000US05049","Fulton County, Arkansas","12301","*****","*****","null","12178","94","null","null","123","null","94","null",
"0500000US05051","Garland County, Arkansas","96249","*****","*****","null","92424","447","null","null","3825","null","447","null",
"0500000US05053","Grant County, Arkansas","17852","*****","*****","null","17529","114","null","null","323","null","114","null",
"0500000US05055","Greene County, Arkansas","42224","*****","*****","null","41765","155","null","null","459","null","155","null",
"0500000US05057","Hempstead County, Arkansas","22548","*****","*****","null","21126","212","null","null","1422","null","212","null",
"0500000US05059","Hot Spring County, Arkansas","33011","*****","*****","null","32663","138","null","null","348","null","138","null",
"0500000US05061","Howard County, Arkansas","13790","*****","*****","null","12978","150","null","null","812","null","150","null",
"0500000US05063","Independence County, Arkansas","36572","*****","*****","null","35293","239","null","null","1279","null","239","null",
"0500000US05065","Izard County, Arkansas","13614","*****","*****","null","13413","97","null","null","201","null","97","null",
"0500000US05067","Jackson County, Arkansas","17885","*****","*****","null","17707","64","null","null","178","null","64","null",
"0500000US05069","Jefferson County, Arkansas","76836","*****","*****","null","75909","158","null","null","927","null","158","null",
"0500000US05071","Johnson County, Arkansas","25554","*****","*****","null","23703","242","null","null","1851","null","242","null",
"0500000US05073","Lafayette County, Arkansas","7618","*****","*****","null","7562","56","null","null","56","null","56","null",
"0500000US05075","Lawrence County, Arkansas","17314","*****","*****","null","17208","48","null","null","106","null","48","null",
"0500000US05077","Lee County, Arkansas","10430","*****","*****","null","10306","78","null","null","124","null","78","null",
"0500000US05079","Lincoln County, Arkansas","14167","*****","*****","null","13996","65","null","null","171","null","65","null",
"0500000US05081","Little River County, Arkansas","13068","*****","*****","null","12969","82","null","null","99","null","82","null",
"0500000US05083","Logan County, Arkansas","22352","*****","*****","null","22110","39","null","null","242","null","39","null",
"0500000US05085","Lonoke County, Arkansas","68274","*****","*****","null","66935","247","null","null","1339","null","247","null",
"0500000US05087","Madison County, Arkansas","15674","*****","*****","null","15291","102","null","null","383","null","102","null",
"0500000US05089","Marion County, Arkansas","16712","*****","*****","null","16364","125","null","null","348","null","125","null",
"0500000US05091","Miller County, Arkansas","43449","*****","*****","null","42852","189","null","null","597","null","189","null",
"0500000US05093","Mississippi County, Arkansas","46388","*****","*****","null","45465","233","null","null","923","null","233","null",
"0500000US05095","Monroe County, Arkansas","8145","*****","*****","null","8076","29","null","null","69","null","29","null",
"0500000US05097","Montgomery County, Arkansas","9453","*****","*****","null","9278","88","null","null","175","null","88","null",
"0500000US05099","Nevada County, Arkansas","9003","*****","*****","null","8960","26","null","null","43","null","26","null",
"0500000US05101","Newton County, Arkansas","8286","*****","*****","null","8213","51","null","null","73","null","51","null",
"0500000US05103","Ouachita County, Arkansas","25894","*****","*****","null","25716","63","null","null","178","null","63","null",
"0500000US05105","Perry County, Arkansas","10413","*****","*****","null","10340","61","null","null","73","null","61","null",
"0500000US05107","Phillips County, Arkansas","21646","*****","*****","null","21530","69","null","null","116","null","69","null",
"0500000US05109","Pike County, Arkansas","11261","*****","*****","null","10782","110","null","null","479","null","110","null",
"0500000US05111","Poinsett County, Arkansas","24506","*****","*****","null","24289","106","null","null","217","null","106","null",
"0500000US05113","Polk County, Arkansas","20535","*****","*****","null","19930","109","null","null","605","null","109","null",
"0500000US05115","Pope County, Arkansas","61853","*****","*****","null","59868","241","null","null","1985","null","241","null",
"0500000US05117","Prairie County, Arkansas","8659","*****","*****","null","8642","18","null","null","17","null","18","null",
"0500000US05119","Pulaski County, Arkansas","383185","*****","*****","null","362860","986","null","null","20325","null","986","null",
