"GEO_ID","NAME","B05012_001E","B05012_001EA","B05012_001M","B05012_001MA","B05012_002E","B05012_002EA","B05012_002M","B05012_002MA","B05012_003E","B05012_003EA","B05012_003M","B05012_003MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!Native","Annotation of Estimate!!Total:!!Native","Margin of Error!!Total:!!Native","Annotation of Margin of Error!!Total:!!Native","Estimate!!Total:!!Foreign-Born","Annotation of Estimate!!Total:!!Foreign-Born","Margin of Error!!Total:!!Foreign-Born","Annotation of Margin of Error!!Total:!!Foreign-Born",
"0100000US","United States","324697795","null","*****","*****","280685925","null","142237","null","44011870","null","142271","null",
"0500000US01001","Autauga County, Alabama","55380","null","*****","*****","54081","null","283","null","1299","null","283","null",
"0500000US01003","Baldwin County, Alabama","212830","null","*****","*****","204906","null","889","null","7924","null","889","null",
"0500000US01005","Barbour County, Alabama","25361","null","*****","*****","24672","null","89","null","689","null","89","null",
"0500000US01007","Bibb County, Alabama","22493","null","*****","*****","22153","null","153","null","340","null","153","null",
"0500000US01009","Blount County, Alabama","57681","null","*****","*****","55062","null","242","null","2619","null","242","null",
"0500000US01011","Bullock County, Alabama","10248","null","*****","*****","10176","null","65","null","72","null","65","null",
"0500000US01013","Butler County, Alabama","19828","null","*****","*****","19675","null","77","null","153","null","77","null",
"0500000US01015","Calhoun County, Alabama","114618","null","*****","*****","111567","null","372","null","3051","null","372","null",
"0500000US01017","Chambers County, Alabama","33660","null","*****","*****","33041","null","181","null","619","null","181","null",
"0500000US01019","Cherokee County, Alabama","25903","null","*****","*****","25681","null","95","null","222","null","95","null",
"0500000US01021","Chilton County, Alabama","44055","null","*****","*****","42048","null","342","null","2007","null","342","null",
"0500000US01023","Choctaw County, Alabama","12925","null","*****","*****","12843","null","53","null","82","null","53","null",
"0500000US01025","Clarke County, Alabama","24128","null","*****","*****","24071","null","39","null","57","null","39","null",
"0500000US01027","Clay County, Alabama","13337","null","*****","*****","13070","null","72","null","267","null","72","null",
"0500000US01029","Cleburne County, Alabama","14916","null","*****","*****","14675","null","69","null","241","null","69","null",
"0500000US01031","Coffee County, Alabama","51662","null","*****","*****","49603","null","364","null","2059","null","364","null",
"0500000US01033","Colbert County, Alabama","54771","null","*****","*****","53708","null","203","null","1063","null","203","null",
"0500000US01035","Conecuh County, Alabama","12394","null","*****","*****","12278","null","66","null","116","null","66","null",
"0500000US01037","Coosa County, Alabama","10757","null","*****","*****","10704","null","76","null","53","null","76","null",
"0500000US01039","Covington County, Alabama","37200","null","*****","*****","36890","null","74","null","310","null","74","null",
"0500000US01041","Crenshaw County, Alabama","13844","null","*****","*****","13652","null","57","null","192","null","57","null",
"0500000US01043","Cullman County, Alabama","82853","null","*****","*****","80720","null","261","null","2133","null","261","null",
"0500000US01045","Dale County, Alabama","49277","null","*****","*****","47549","null","318","null","1728","null","318","null",
"0500000US01047","Dallas County, Alabama","39149","null","*****","*****","38644","null","160","null","505","null","160","null",
"0500000US01049","DeKalb County, Alabama","71310","null","*****","*****","66103","null","398","null","5207","null","398","null",
"0500000US01051","Elmore County, Alabama","81144","null","*****","*****","79434","null","332","null","1710","null","332","null",
"0500000US01053","Escambia County, Alabama","37057","null","*****","*****","36799","null","158","null","258","null","158","null",
"0500000US01055","Etowah County, Alabama","102748","null","*****","*****","99840","null","411","null","2908","null","411","null",
"0500000US01057","Fayette County, Alabama","16494","null","*****","*****","16340","null","73","null","154","null","73","null",
"0500000US01059","Franklin County, Alabama","31466","null","*****","*****","28648","null","506","null","2818","null","506","null",
"0500000US01061","Geneva County, Alabama","26417","null","*****","*****","26024","null","102","null","393","null","102","null",
"0500000US01063","Greene County, Alabama","8324","null","*****","*****","8301","null","30","null","23","null","30","null",
"0500000US01065","Hale County, Alabama","14809","null","*****","*****","14773","null","30","null","36","null","30","null",
"0500000US01067","Henry County, Alabama","17133","null","*****","*****","16978","null","63","null","155","null","63","null",
"0500000US01069","Houston County, Alabama","104702","null","*****","*****","102202","null","251","null","2500","null","251","null",
"0500000US01071","Jackson County, Alabama","51852","null","*****","*****","51141","null","168","null","711","null","168","null",
"0500000US01073","Jefferson County, Alabama","659680","null","*****","*****","632698","null","1159","null","26982","null","1159","null",
"0500000US01075","Lamar County, Alabama","13885","null","*****","*****","13767","null","118","null","118","null","118","null",
"0500000US01077","Lauderdale County, Alabama","92556","null","*****","*****","90742","null","291","null","1814","null","291","null",
"0500000US01079","Lawrence County, Alabama","33058","null","*****","*****","32760","null","145","null","298","null","145","null",
"0500000US01081","Lee County, Alabama","161152","null","*****","*****","152185","null","847","null","8967","null","847","null",
"0500000US01083","Limestone County, Alabama","94727","null","*****","*****","91247","null","423","null","3480","null","423","null",
"0500000US01085","Lowndes County, Alabama","10079","null","*****","*****","10003","null","90","null","76","null","90","null",
"0500000US01087","Macon County, Alabama","18708","null","*****","*****","18595","null","62","null","113","null","62","null",
"0500000US01089","Madison County, Alabama","362276","null","*****","*****","342310","null","1015","null","19966","null","1015","null",
"0500000US01091","Marengo County, Alabama","19321","null","*****","*****","19248","null","114","null","73","null","114","null",
"0500000US01093","Marion County, Alabama","29866","null","*****","*****","29495","null","125","null","371","null","125","null",
"0500000US01095","Marshall County, Alabama","95643","null","*****","*****","88609","null","598","null","7034","null","598","null",
"0500000US01097","Mobile County, Alabama","414114","null","*****","*****","401169","null","949","null","12945","null","949","null",
"0500000US01099","Monroe County, Alabama","21270","null","*****","*****","21160","null","64","null","110","null","64","null",
"0500000US01101","Montgomery County, Alabama","226941","null","*****","*****","216277","null","627","null","10664","null","627","null",
"0500000US01103","Morgan County, Alabama","119213","null","*****","*****","113760","null","555","null","5453","null","555","null",
"0500000US01105","Perry County, Alabama","9293","null","*****","*****","9094","null","157","null","199","null","157","null",
"0500000US01107","Pickens County, Alabama","20243","null","*****","*****","19547","null","137","null","696","null","137","null",
"0500000US01109","Pike County, Alabama","33333","null","*****","*****","31918","null","368","null","1415","null","368","null",
"0500000US01111","Randolph County, Alabama","22647","null","*****","*****","22354","null","97","null","293","null","97","null",
"0500000US01113","Russell County, Alabama","57952","null","*****","*****","55830","null","458","null","2122","null","458","null",
"0500000US01115","St. Clair County, Alabama","87989","null","*****","*****","86584","null","214","null","1405","null","214","null",
"0500000US01117","Shelby County, Alabama","213432","null","*****","*****","201455","null","872","null","11977","null","872","null",
"0500000US01119","Sumter County, Alabama","12797","null","*****","*****","12586","null","124","null","211","null","124","null",
"0500000US01121","Talladega County, Alabama","80387","null","*****","*****","79157","null","290","null","1230","null","290","null",
"0500000US01123","Tallapoosa County, Alabama","40541","null","*****","*****","39947","null","134","null","594","null","134","null",
"0500000US01125","Tuscaloosa County, Alabama","207305","null","*****","*****","199462","null","710","null","7843","null","710","null",
"0500000US01127","Walker County, Alabama","64110","null","*****","*****","63158","null","160","null","952","null","160","null",
"0500000US01129","Washington County, Alabama","16541","null","*****","*****","16092","null","241","null","449","null","241","null",
"0500000US01131","Wilcox County, Alabama","10681","null","*****","*****","10615","null","91","null","66","null","91","null",
"0500000US01133","Winston County, Alabama","23784","null","*****","*****","23427","null","86","null","357","null","86","null",
"0500000US02013","Aleutians East Borough, Alaska","3385","null","*****","*****","2468","null","221","null","917","null","221","null",
"0500000US02016","Aleutians West Census Area, Alaska","5698","null","*****","*****","3325","null","144","null","2373","null","144","null",
"0500000US02020","Anchorage Municipality, Alaska","293531","null","*****","*****","261528","null","1445","null","32003","null","1445","null",
"0500000US02050","Bethel Census Area, Alaska","18134","null","*****","*****","17719","null","119","null","415","null","119","null",
"0500000US02060","Bristol Bay Borough, Alaska","875","null","80","null","856","null","85","null","19","null","15","null",
"0500000US02068","Denali Borough, Alaska","2246","null","367","null","2073","null","401","null","173","null","173","null",
"0500000US02070","Dillingham Census Area, Alaska","4961","null","*****","*****","4846","null","100","null","115","null","100","null",
"0500000US02090","Fairbanks North Star Borough, Alaska","99072","null","*****","*****","93756","null","570","null","5316","null","570","null",
"0500000US02100","Haines Borough, Alaska","2518","null","*****","*****","2389","null","103","null","129","null","103","null",
"0500000US02105","Hoonah-Angoon Census Area, Alaska","2139","null","*****","*****","2019","null","118","null","120","null","118","null",
"0500000US02110","Juneau City and Borough, Alaska","32227","null","*****","*****","29398","null","340","null","2829","null","340","null",
"0500000US02122","Kenai Peninsula Borough, Alaska","58464","null","*****","*****","56522","null","264","null","1942","null","264","null",
"0500000US02130","Ketchikan Gateway Borough, Alaska","13800","null","*****","*****","12562","null","93","null","1238","null","93","null",
"0500000US02150","Kodiak Island Borough, Alaska","13451","null","*****","*****","10785","null","226","null","2666","null","226","null",
"0500000US02158","Kusilvak Census Area, Alaska","8250","null","*****","*****","8207","null","65","null","43","null","65","null",
"0500000US02164","Lake and Peninsula Borough, Alaska","1393","null","367","null","1362","null","363","null","31","null","32","null",
"0500000US02170","Matanuska-Susitna Borough, Alaska","105369","null","*****","*****","101862","null","326","null","3507","null","326","null",
"0500000US02180","Nome Census Area, Alaska","9988","null","*****","*****","9737","null","144","null","251","null","144","null",
"0500000US02185","North Slope Borough, Alaska","9792","null","*****","*****","9175","null","99","null","617","null","99","null",
"0500000US02188","Northwest Arctic Borough, Alaska","7715","null","*****","*****","7600","null","53","null","115","null","53","null",
"0500000US02195","Petersburg Borough, Alaska","3257","null","*****","*****","2971","null","90","null","286","null","90","null",
"0500000US02198","Prince of Wales-Hyder Census Area, Alaska","6407","null","*****","*****","6206","null","39","null","201","null","39","null",
"0500000US02220","Sitka City and Borough, Alaska","8640","null","*****","*****","7915","null","96","null","725","null","96","null",
"0500000US02230","Skagway Municipality, Alaska","1107","null","102","null","1009","null","109","null","98","null","68","null",
