"GEO_ID","NAME","B05012_001E","B05012_001M","B05012_001MA","B05012_001EA","B05012_002E","B05012_002M","B05012_002MA","B05012_002EA","B05012_003E","B05012_003M","B05012_003MA","B05012_003EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Native","Margin of Error!!Total!!Native","Annotation of Margin of Error!!Total!!Native","Annotation of Estimate!!Total!!Native","Estimate!!Total!!Foreign-Born","Margin of Error!!Total!!Foreign-Born","Annotation of Margin of Error!!Total!!Foreign-Born","Annotation of Estimate!!Total!!Foreign-Born",
"0500000US13273","Terrell County, Georgia","8978","*****","*****","null","8919","40","null","null","59","40","null","null",
"0500000US13275","Thomas County, Georgia","44909","*****","*****","null","43733","257","null","null","1176","257","null","null",
"0500000US13277","Tift County, Georgia","40531","*****","*****","null","37890","406","null","null","2641","406","null","null",
"0500000US13279","Toombs County, Georgia","27160","*****","*****","null","25381","216","null","null","1779","216","null","null",
"0500000US13281","Towns County, Georgia","11173","*****","*****","null","10880","118","null","null","293","118","null","null",
"0500000US13283","Treutlen County, Georgia","6752","*****","*****","null","6513","152","null","null","239","152","null","null",
"0500000US13285","Troup County, Georgia","69433","*****","*****","null","66689","388","null","null","2744","388","null","null",
"0500000US13287","Turner County, Georgia","8036","*****","*****","null","7817","87","null","null","219","87","null","null",
"0500000US13289","Twiggs County, Georgia","8323","*****","*****","null","8220","121","null","null","103","121","null","null",
"0500000US13291","Union County, Georgia","22262","*****","*****","null","21697","133","null","null","565","133","null","null",
"0500000US13293","Upson County, Georgia","26241","*****","*****","null","25690","137","null","null","551","137","null","null",
"0500000US13295","Walker County, Georgia","68609","*****","*****","null","67743","206","null","null","866","206","null","null",
"0500000US13297","Walton County, Georgia","88695","*****","*****","null","84866","523","null","null","3829","523","null","null",
"0500000US13299","Ware County, Georgia","35688","*****","*****","null","34711","287","null","null","977","287","null","null",
"0500000US13301","Warren County, Georgia","5410","*****","*****","null","5259","75","null","null","151","75","null","null",
"0500000US13303","Washington County, Georgia","20506","*****","*****","null","20101","132","null","null","405","132","null","null",
"0500000US13305","Wayne County, Georgia","29833","*****","*****","null","28955","196","null","null","878","196","null","null",
"0500000US13307","Webster County, Georgia","2627","*****","*****","null","2607","23","null","null","20","23","null","null",
"0500000US13309","Wheeler County, Georgia","7952","*****","*****","null","7860","60","null","null","92","60","null","null",
"0500000US13311","White County, Georgia","28509","*****","*****","null","27778","239","null","null","731","239","null","null",
"0500000US13313","Whitfield County, Georgia","103963","*****","*****","null","84429","777","null","null","19534","777","null","null",
"0500000US13315","Wilcox County, Georgia","8896","*****","*****","null","8702","54","null","null","194","54","null","null",
"0500000US13317","Wilkes County, Georgia","9905","*****","*****","null","9490","91","null","null","415","91","null","null",
"0500000US13319","Wilkinson County, Georgia","9147","*****","*****","null","9022","63","null","null","125","63","null","null",
"0500000US13321","Worth County, Georgia","20809","*****","*****","null","20549","141","null","null","260","141","null","null",
"0500000US15001","Hawaii County, Hawaii","196325","*****","*****","null","174200","1669","null","null","22125","1669","null","null",
"0500000US15003","Honolulu County, Hawaii","990060","*****","*****","null","797738","3476","null","null","192322","3476","null","null",
"0500000US15005","Kalawao County, Hawaii","86","16","null","null","80","16","null","null","6","4","null","null",
"0500000US15007","Kauai County, Hawaii","71093","*****","*****","null","59292","1050","null","null","11801","1050","null","null",
"0500000US15009","Maui County, Hawaii","164094","16","null","null","133637","1686","null","null","30457","1686","null","null",
"0500000US16001","Ada County, Idaho","435117","*****","*****","null","410066","1547","null","null","25051","1547","null","null",
"0500000US16003","Adams County, Idaho","3946","*****","*****","null","3876","38","null","null","70","38","null","null",
"0500000US16005","Bannock County, Idaho","84113","*****","*****","null","80705","423","null","null","3408","423","null","null",
"0500000US16007","Bear Lake County, Idaho","5942","*****","*****","null","5780","49","null","null","162","49","null","null",
"0500000US16009","Benewah County, Idaho","9050","*****","*****","null","8900","62","null","null","150","62","null","null",
"0500000US16011","Bingham County, Idaho","45369","*****","*****","null","42518","328","null","null","2851","328","null","null",
"0500000US16013","Blaine County, Idaho","21583","*****","*****","null","18528","314","null","null","3055","314","null","null",
"0500000US16015","Boise County, Idaho","6968","*****","*****","null","6834","53","null","null","134","53","null","null",
"0500000US16017","Bonner County, Idaho","41855","*****","*****","null","40718","257","null","null","1137","257","null","null",
"0500000US16019","Bonneville County, Idaho","110404","*****","*****","null","104296","596","null","null","6108","596","null","null",
"0500000US16021","Boundary County, Idaho","11323","*****","*****","null","10879","139","null","null","444","139","null","null",
"0500000US16023","Butte County, Idaho","2613","*****","*****","null","2585","22","null","null","28","22","null","null",
"0500000US16025","Camas County, Idaho","886","114","null","null","840","99","null","null","46","37","null","null",
"0500000US16027","Canyon County, Idaho","207027","*****","*****","null","190591","1255","null","null","16436","1255","null","null",
"0500000US16029","Caribou County, Idaho","6862","*****","*****","null","6687","60","null","null","175","60","null","null",
"0500000US16031","Cassia County, Idaho","23472","*****","*****","null","20758","270","null","null","2714","270","null","null",
"0500000US16033","Clark County, Idaho","1055","114","null","null","804","123","null","null","251","85","null","null",
"0500000US16035","Clearwater County, Idaho","8533","*****","*****","null","8340","54","null","null","193","54","null","null",
"0500000US16037","Custer County, Idaho","4141","*****","*****","null","4097","28","null","null","44","28","null","null",
"0500000US16039","Elmore County, Idaho","26232","*****","*****","null","23618","224","null","null","2614","224","null","null",
"0500000US16041","Franklin County, Idaho","13120","*****","*****","null","12684","101","null","null","436","101","null","null",
"0500000US16043","Fremont County, Idaho","12889","*****","*****","null","12307","99","null","null","582","99","null","null",
"0500000US16045","Gem County, Idaho","16850","*****","*****","null","16265","191","null","null","585","191","null","null",
"0500000US16047","Gooding County, Idaho","15110","*****","*****","null","12974","194","null","null","2136","194","null","null",
"0500000US16049","Idaho County, Idaho","16275","*****","*****","null","16010","125","null","null","265","125","null","null",
"0500000US16051","Jefferson County, Idaho","27410","*****","*****","null","26243","190","null","null","1167","190","null","null",
"0500000US16053","Jerome County, Idaho","23039","*****","*****","null","19409","261","null","null","3630","261","null","null",
"0500000US16055","Kootenai County, Idaho","150128","*****","*****","null","146726","411","null","null","3402","411","null","null",
"0500000US16057","Latah County, Idaho","38697","*****","*****","null","36560","344","null","null","2137","344","null","null",
"0500000US16059","Lemhi County, Idaho","7755","*****","*****","null","7520","137","null","null","235","137","null","null",
"0500000US16061","Lewis County, Idaho","3824","*****","*****","null","3744","38","null","null","80","38","null","null",
"0500000US16063","Lincoln County, Idaho","5296","*****","*****","null","4587","107","null","null","709","107","null","null",
"0500000US16065","Madison County, Idaho","38241","*****","*****","null","36460","342","null","null","1781","342","null","null",
"0500000US16067","Minidoka County, Idaho","20448","*****","*****","null","17185","337","null","null","3263","337","null","null",
"0500000US16069","Nez Perce County, Idaho","40014","*****","*****","null","39458","154","null","null","556","154","null","null",
"0500000US16071","Oneida County, Idaho","4284","*****","*****","null","4148","58","null","null","136","58","null","null",
"0500000US16073","Owyhee County, Idaho","11384","*****","*****","null","10185","156","null","null","1199","156","null","null",
"0500000US16075","Payette County, Idaho","22839","*****","*****","null","21383","265","null","null","1456","265","null","null",
"0500000US16077","Power County, Idaho","7667","*****","*****","null","6792","275","null","null","875","275","null","null",
"0500000US16079","Shoshone County, Idaho","12490","*****","*****","null","12274","83","null","null","216","83","null","null",
"0500000US16081","Teton County, Idaho","10776","*****","*****","null","9823","205","null","null","953","205","null","null",
"0500000US16083","Twin Falls County, Idaho","82248","*****","*****","null","75474","763","null","null","6774","763","null","null",
"0500000US16085","Valley County, Idaho","10104","*****","*****","null","10020","68","null","null","84","68","null","null",
"0500000US16087","Washington County, Idaho","9996","*****","*****","null","9267","131","null","null","729","131","null","null",
"0500000US17001","Adams County, Illinois","66787","*****","*****","null","65648","229","null","null","1139","229","null","null",
"0500000US17003","Alexander County, Illinois","6776","*****","*****","null","6718","46","null","null","58","46","null","null",
"0500000US17005","Bond County, Illinois","17034","*****","*****","null","16631","146","null","null","403","146","null","null",
"0500000US17007","Boone County, Illinois","53638","*****","*****","null","47995","497","null","null","5643","497","null","null",
"0500000US17009","Brown County, Illinois","6791","*****","*****","null","6641","78","null","null","150","78","null","null",
"0500000US17011","Bureau County, Illinois","33619","*****","*****","null","32417","152","null","null","1202","152","null","null",
"0500000US17013","Calhoun County, Illinois","4897","*****","*****","null","4856","21","null","null","41","21","null","null",
"0500000US17015","Carroll County, Illinois","14704","*****","*****","null","14348","85","null","null","356","85","null","null",
"0500000US17017","Cass County, Illinois","12880","*****","*****","null","11417","155","null","null","1463","155","null","null",
"0500000US17019","Champaign County, Illinois","207946","*****","*****","null","183241","944","null","null","24705","944","null","null",
"0500000US17021","Christian County, Illinois","33562","*****","*****","null","33127","153","null","null","435","153","null","null",
"0500000US17023","Clark County, Illinois","15924","*****","*****","null","15731","47","null","null","193","47","null","null",
"0500000US17025","Clay County, Illinois","13393","*****","*****","null","13194","89","null","null","199","89","null","null",
"0500000US17027","Clinton County, Illinois","37640","*****","*****","null","36928","230","null","null","712","230","null","null",
"0500000US17029","Coles County, Illinois","52540","*****","*****","null","51236","306","null","null","1304","306","null","null",
"0500000US17031","Cook County, Illinois","5238541","*****","*****","null","4133162","8097","null","null","1105379","8097","null","null",
"0500000US17033","Crawford County, Illinois","19214","*****","*****","null","18919","123","null","null","295","123","null","null",
"0500000US17035","Cumberland County, Illinois","10899","*****","*****","null","10826","44","null","null","73","44","null","null",
"0500000US17037","DeKalb County, Illinois","104473","*****","*****","null","97314","689","null","null","7159","689","null","null",
"0500000US17039","De Witt County, Illinois","16176","*****","*****","null","15918","74","null","null","258","74","null","null",
"0500000US17041","Douglas County, Illinois","19830","*****","*****","null","19072","111","null","null","758","111","null","null",
"0500000US17043","DuPage County, Illinois","931826","*****","*****","null","756119","2273","null","null","175707","2273","null","null",
"0500000US17045","Edgar County, Illinois","17603","*****","*****","null","17409","65","null","null","194","65","null","null",
"0500000US17047","Edwards County, Illinois","6570","*****","*****","null","6523","28","null","null","47","28","null","null",
"0500000US17049","Effingham County, Illinois","34164","*****","*****","null","33693","162","null","null","471","162","null","null",
"0500000US17051","Fayette County, Illinois","21980","*****","*****","null","21780","64","null","null","200","64","null","null",
"0500000US17053","Ford County, Illinois","13470","*****","*****","null","13309","57","null","null","161","57","null","null",
"0500000US17055","Franklin County, Illinois","39302","*****","*****","null","38940","102","null","null","362","102","null","null",
"0500000US17057","Fulton County, Illinois","35733","*****","*****","null","34999","222","null","null","734","222","null","null",
"0500000US17059","Gallatin County, Illinois","5226","*****","*****","null","5194","32","null","null","32","32","null","null",
"0500000US17061","Greene County, Illinois","13311","*****","*****","null","13266","24","null","null","45","24","null","null",
"0500000US17063","Grundy County, Illinois","50333","*****","*****","null","48455","264","null","null","1878","264","null","null",
"0500000US17065","Hamilton County, Illinois","8259","*****","*****","null","8219","31","null","null","40","31","null","null",
"0500000US17067","Hancock County, Illinois","18264","*****","*****","null","18073","82","null","null","191","82","null","null",
"0500000US17069","Hardin County, Illinois","4161","*****","*****","null","4151","14","null","null","10","14","null","null",
"0500000US17071","Henderson County, Illinois","6927","*****","*****","null","6849","58","null","null","78","58","null","null",
"0500000US17073","Henry County, Illinois","49649","*****","*****","null","48554","214","null","null","1095","214","null","null",
"0500000US17075","Iroquois County, Illinois","28457","*****","*****","null","27660","92","null","null","797","92","null","null",
"0500000US17077","Jackson County, Illinois","59115","*****","*****","null","55888","437","null","null","3227","437","null","null",
"0500000US17079","Jasper County, Illinois","9608","*****","*****","null","9442","118","null","null","166","119","null","null",
"0500000US17081","Jefferson County, Illinois","38358","*****","*****","null","37667","102","null","null","691","102","null","null",
"0500000US17083","Jersey County, Illinois","22215","*****","*****","null","21869","215","null","null","346","215","null","null",
"0500000US17085","Jo Daviess County, Illinois","22046","*****","*****","null","21483","113","null","null","563","113","null","null",
"0500000US17087","Johnson County, Illinois","12899","*****","*****","null","12748","50","null","null","151","50","null","null",
"0500000US17089","Kane County, Illinois","529402","*****","*****","null","432850","2467","null","null","96552","2467","null","null",
"0500000US17091","Kankakee County, Illinois","110801","*****","*****","null","105140","483","null","null","5661","483","null","null",
"0500000US17093","Kendall County, Illinois","122933","*****","*****","null","111630","1102","null","null","11303","1102","null","null",
"0500000US17095","Knox County, Illinois","51374","*****","*****","null","49867","234","null","null","1507","234","null","null",
"0500000US17097","Lake County, Illinois","704476","*****","*****","null","574609","2048","null","null","129867","2048","null","null",
"0500000US17099","LaSalle County, Illinois","111151","*****","*****","null","107271","334","null","null","3880","334","null","null",
"0500000US17101","Lawrence County, Illinois","16457","*****","*****","null","16117","87","null","null","340","87","null","null",
"0500000US17103","Lee County, Illinois","34670","*****","*****","null","33677","160","null","null","993","160","null","null",
"0500000US17105","Livingston County, Illinois","36812","*****","*****","null","36049","162","null","null","763","162","null","null",
"0500000US17107","Logan County, Illinois","29488","*****","*****","null","29065","107","null","null","423","106","null","null",
"0500000US17109","McDonough County, Illinois","31597","*****","*****","null","30409","327","null","null","1188","327","null","null",
"0500000US17111","McHenry County, Illinois","308043","*****","*****","null","279618","1236","null","null","28425","1236","null","null",
"0500000US17113","McLean County, Illinois","173231","*****","*****","null","161262","838","null","null","11969","838","null","null",
"0500000US17115","Macon County, Illinois","107587","*****","*****","null","105278","296","null","null","2309","296","null","null",
"0500000US17117","Macoupin County, Illinois","45960","*****","*****","null","45628","83","null","null","332","83","null","null",
"0500000US17119","Madison County, Illinois","266153","*****","*****","null","259955","651","null","null","6198","651","null","null",
"0500000US17121","Marion County, Illinois","38305","*****","*****","null","37783","123","null","null","522","123","null","null",
"0500000US17123","Marshall County, Illinois","11925","*****","*****","null","11728","57","null","null","197","57","null","null",
"0500000US17125","Mason County, Illinois","13904","*****","*****","null","13812","46","null","null","92","46","null","null",
"0500000US17127","Massac County, Illinois","14594","*****","*****","null","14472","72","null","null","122","72","null","null",
"0500000US17129","Menard County, Illinois","12416","*****","*****","null","12365","33","null","null","51","33","null","null",
"0500000US17131","Mercer County, Illinois","15794","*****","*****","null","15575","60","null","null","219","60","null","null",
"0500000US17133","Monroe County, Illinois","33739","*****","*****","null","33252","131","null","null","487","131","null","null",
"0500000US17135","Montgomery County, Illinois","29173","*****","*****","null","28942","91","null","null","231","91","null","null",
"0500000US17137","Morgan County, Illinois","34442","*****","*****","null","33723","206","null","null","719","206","null","null",
"0500000US17139","Moultrie County, Illinois","14711","*****","*****","null","14562","63","null","null","149","63","null","null",
"0500000US17141","Ogle County, Illinois","51619","*****","*****","null","49052","383","null","null","2567","383","null","null",
"0500000US17143","Peoria County, Illinois","186145","*****","*****","null","175369","795","null","null","10776","795","null","null",
