"GEO_ID","NAME","B05012_001E","B05012_001M","B05012_001MA","B05012_001EA","B05012_002E","B05012_002M","B05012_002MA","B05012_002EA","B05012_003E","B05012_003EA","B05012_003M","B05012_003MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Native","Margin of Error!!Total!!Native","Annotation of Margin of Error!!Total!!Native","Annotation of Estimate!!Total!!Native","Estimate!!Total!!Foreign-Born","Annotation of Estimate!!Total!!Foreign-Born","Margin of Error!!Total!!Foreign-Born","Annotation of Margin of Error!!Total!!Foreign-Born",
"0100000US","United States","316515021","*****","*****","null","274797601","104206","null","null","41717420","null","104288","null",
"0500000US01001","Autauga County, Alabama","55221","*****","*****","null","54360","278","null","null","861","null","278","null",
"0500000US01003","Baldwin County, Alabama","195121","*****","*****","null","188239","889","null","null","6882","null","889","null",
"0500000US01005","Barbour County, Alabama","26932","*****","*****","null","26195","115","null","null","737","null","115","null",
"0500000US01007","Bibb County, Alabama","22604","*****","*****","null","22353","111","null","null","251","null","111","null",
"0500000US01009","Blount County, Alabama","57710","*****","*****","null","55317","322","null","null","2393","null","322","null",
"0500000US01011","Bullock County, Alabama","10678","*****","*****","null","10105","482","null","null","573","null","482","null",
"0500000US01013","Butler County, Alabama","20354","*****","*****","null","20210","82","null","null","144","null","82","null",
"0500000US01015","Calhoun County, Alabama","116648","*****","*****","null","113661","309","null","null","2987","null","309","null",
"0500000US01017","Chambers County, Alabama","34079","*****","*****","null","33718","87","null","null","361","null","87","null",
"0500000US01019","Cherokee County, Alabama","26008","*****","*****","null","25747","134","null","null","261","null","134","null",
"0500000US01021","Chilton County, Alabama","43819","*****","*****","null","41486","267","null","null","2333","null","267","null",
"0500000US01023","Choctaw County, Alabama","13395","*****","*****","null","13374","19","null","null","21","null","19","null",
"0500000US01025","Clarke County, Alabama","25070","*****","*****","null","24944","65","null","null","126","null","65","null",
"0500000US01027","Clay County, Alabama","13537","*****","*****","null","13247","58","null","null","290","null","58","null",
"0500000US01029","Cleburne County, Alabama","15002","*****","*****","null","14771","61","null","null","231","null","61","null",
"0500000US01031","Coffee County, Alabama","50884","*****","*****","null","48726","350","null","null","2158","null","350","null",
"0500000US01033","Colbert County, Alabama","54444","*****","*****","null","53431","317","null","null","1013","null","317","null",
"0500000US01035","Conecuh County, Alabama","12865","*****","*****","null","12734","54","null","null","131","null","54","null",
"0500000US01037","Coosa County, Alabama","11027","*****","*****","null","10830","59","null","null","197","null","59","null",
"0500000US01039","Covington County, Alabama","37886","*****","*****","null","37479","94","null","null","407","null","94","null",
"0500000US01041","Crenshaw County, Alabama","13938","*****","*****","null","13610","84","null","null","328","null","84","null",
"0500000US01043","Cullman County, Alabama","80965","*****","*****","null","78969","290","null","null","1996","null","290","null",
"0500000US01045","Dale County, Alabama","49866","*****","*****","null","48250","332","null","null","1616","null","332","null",
"0500000US01047","Dallas County, Alabama","42154","*****","*****","null","41822","135","null","null","332","null","135","null",
"0500000US01049","DeKalb County, Alabama","71068","*****","*****","null","65666","472","null","null","5402","null","472","null",
"0500000US01051","Elmore County, Alabama","80763","*****","*****","null","79063","278","null","null","1700","null","278","null",
"0500000US01053","Escambia County, Alabama","37935","*****","*****","null","37720","117","null","null","215","null","117","null",
"0500000US01055","Etowah County, Alabama","103766","*****","*****","null","100970","307","null","null","2796","null","307","null",
"0500000US01057","Fayette County, Alabama","16896","*****","*****","null","16820","61","null","null","76","null","61","null",
"0500000US01059","Franklin County, Alabama","31634","*****","*****","null","28844","302","null","null","2790","null","302","null",
"0500000US01061","Geneva County, Alabama","26815","*****","*****","null","26085","368","null","null","730","null","368","null",
"0500000US01063","Greene County, Alabama","8697","*****","*****","null","8678","22","null","null","19","null","22","null",
"0500000US01065","Hale County, Alabama","15256","*****","*****","null","15110","62","null","null","146","null","62","null",
"0500000US01067","Henry County, Alabama","17252","*****","*****","null","17002","118","null","null","250","null","118","null",
"0500000US01069","Houston County, Alabama","103534","*****","*****","null","101062","186","null","null","2472","null","186","null",
"0500000US01071","Jackson County, Alabama","52860","*****","*****","null","51660","222","null","null","1200","null","222","null",
"0500000US01073","Jefferson County, Alabama","659026","*****","*****","null","632562","1078","null","null","26464","null","1078","null",
"0500000US01075","Lamar County, Alabama","14133","*****","*****","null","14016","81","null","null","117","null","81","null",
"0500000US01077","Lauderdale County, Alabama","92737","*****","*****","null","91014","258","null","null","1723","null","258","null",
"0500000US01079","Lawrence County, Alabama","33586","*****","*****","null","33359","108","null","null","227","null","108","null",
"0500000US01081","Lee County, Alabama","150982","*****","*****","null","142675","812","null","null","8307","null","812","null",
"0500000US01083","Limestone County, Alabama","88805","*****","*****","null","84617","515","null","null","4188","null","515","null",
"0500000US01085","Lowndes County, Alabama","10742","*****","*****","null","10710","27","null","null","32","null","27","null",
