"GEO_ID","NAME","B05012_001E","B05012_001M","B05012_001MA","B05012_001EA","B05012_002E","B05012_002EA","B05012_002M","B05012_002MA","B05012_003E","B05012_003M","B05012_003MA","B05012_003EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Native","Annotation of Estimate!!Total!!Native","Margin of Error!!Total!!Native","Annotation of Margin of Error!!Total!!Native","Estimate!!Total!!Foreign-Born","Margin of Error!!Total!!Foreign-Born","Annotation of Margin of Error!!Total!!Foreign-Born","Annotation of Estimate!!Total!!Foreign-Born",
"0100000US","United States","303965272","*****","*****","null","265290260","null","104147","null","38675012","104183","null","null",
"0500000US01001","Autauga County, Alabama","53155","*****","*****","null","52100","null","253","null","1055","253","null","null",
"0500000US01003","Baldwin County, Alabama","175791","*****","*****","null","169376","null","753","null","6415","753","null","null",
"0500000US01005","Barbour County, Alabama","27699","*****","*****","null","26921","null","198","null","778","198","null","null",
"0500000US01007","Bibb County, Alabama","22610","*****","*****","null","22457","null","158","null","153","158","null","null",
"0500000US01009","Blount County, Alabama","56692","*****","*****","null","54017","null","338","null","2675","338","null","null",
"0500000US01011","Bullock County, Alabama","10923","*****","*****","null","10799","null","103","null","124","103","null","null",
"0500000US01013","Butler County, Alabama","20895","*****","*****","null","20671","null","113","null","224","113","null","null",
"0500000US01015","Calhoun County, Alabama","117149","*****","*****","null","114181","null","401","null","2968","401","null","null",
"0500000US01017","Chambers County, Alabama","34579","*****","*****","null","34278","null","105","null","301","105","null","null",
"0500000US01019","Cherokee County, Alabama","25700","*****","*****","null","25573","null","85","null","127","85","null","null",
"0500000US01021","Chilton County, Alabama","43121","*****","*****","null","41413","null","199","null","1708","199","null","null",
"0500000US01023","Choctaw County, Alabama","14111","*****","*****","null","14064","null","45","null","47","45","null","null",
"0500000US01025","Clarke County, Alabama","26255","*****","*****","null","26192","null","50","null","63","50","null","null",
"0500000US01027","Clay County, Alabama","14040","*****","*****","null","13754","null","74","null","286","74","null","null",
"0500000US01029","Cleburne County, Alabama","14823","*****","*****","null","14647","null","161","null","176","161","null","null",
"0500000US01031","Coffee County, Alabama","48349","*****","*****","null","46135","null","301","null","2214","301","null","null",
"0500000US01033","Colbert County, Alabama","54446","*****","*****","null","53571","null","225","null","875","225","null","null",
"0500000US01035","Conecuh County, Alabama","13382","*****","*****","null","13376","null","9","null","6","9","null","null",
"0500000US01037","Coosa County, Alabama","11470","*****","*****","null","11403","null","67","null","67","67","null","null",
"0500000US01039","Covington County, Alabama","37608","*****","*****","null","37055","null","175","null","553","175","null","null",
"0500000US01041","Crenshaw County, Alabama","13928","*****","*****","null","13351","null","205","null","577","205","null","null",
"0500000US01043","Cullman County, Alabama","79941","*****","*****","null","77848","null","318","null","2093","318","null","null",
"0500000US01045","Dale County, Alabama","49730","*****","*****","null","47962","null","272","null","1768","272","null","null",
"0500000US01047","Dallas County, Alabama","44066","*****","*****","null","43743","null","94","null","323","94","null","null",
"0500000US01049","DeKalb County, Alabama","70038","*****","*****","null","64965","null","264","null","5073","264","null","null",
"0500000US01051","Elmore County, Alabama","77650","*****","*****","null","75970","null","262","null","1680","262","null","null",
"0500000US01053","Escambia County, Alabama","37996","*****","*****","null","37568","null","142","null","428","142","null","null",
"0500000US01055","Etowah County, Alabama","104066","*****","*****","null","101704","null","278","null","2362","278","null","null",
"0500000US01057","Fayette County, Alabama","17472","*****","*****","null","17380","null","62","null","92","62","null","null",
"0500000US01059","Franklin County, Alabama","31383","*****","*****","null","28906","null","219","null","2477","219","null","null",
"0500000US01061","Geneva County, Alabama","26541","*****","*****","null","26106","null","135","null","435","135","null","null",
"0500000US01063","Greene County, Alabama","9255","*****","*****","null","9172","null","110","null","83","110","null","null",
"0500000US01065","Hale County, Alabama","16168","*****","*****","null","16021","null","111","null","147","111","null","null",
"0500000US01067","Henry County, Alabama","17148","*****","*****","null","16719","null","198","null","429","198","null","null",
"0500000US01069","Houston County, Alabama","99029","*****","*****","null","96862","null","220","null","2167","220","null","null",
"0500000US01071","Jackson County, Alabama","53386","*****","*****","null","52598","null","126","null","788","126","null","null",
"0500000US01073","Jefferson County, Alabama","656912","*****","*****","null","630177","null","1106","null","26735","1106","null","null",
"0500000US01075","Lamar County, Alabama","14743","*****","*****","null","14707","null","24","null","36","24","null","null",
"0500000US01077","Lauderdale County, Alabama","91762","*****","*****","null","90071","null","321","null","1691","321","null","null",
"0500000US01079","Lawrence County, Alabama","34235","*****","*****","null","33669","null","152","null","566","152","null","null",
"0500000US01081","Lee County, Alabama","135010","*****","*****","null","128376","null","551","null","6634","551","null","null",
"0500000US01083","Limestone County, Alabama","78614","*****","*****","null","75838","null","234","null","2776","234","null","null",
"0500000US01085","Lowndes County, Alabama","11731","*****","*****","null","11696","null","40","null","35","40","null","null",
"0500000US01087","Macon County, Alabama","21699","*****","*****","null","21599","null","70","null","100","70","null","null",
"0500000US01089","Madison County, Alabama","323080","*****","*****","null","305288","null","853","null","17792","853","null","null",
"0500000US01091","Marengo County, Alabama","21296","*****","*****","null","21235","null","64","null","61","64","null","null",
"0500000US01093","Marion County, Alabama","30792","*****","*****","null","30344","null","207","null","448","207","null","null",
"0500000US01095","Marshall County, Alabama","90867","*****","*****","null","84099","null","492","null","6768","492","null","null",
"0500000US01097","Mobile County, Alabama","408620","*****","*****","null","395596","null","840","null","13024","840","null","null",
"0500000US01099","Monroe County, Alabama","23329","*****","*****","null","23022","null","122","null","307","122","null","null",
"0500000US01101","Montgomery County, Alabama","228018","*****","*****","null","219023","null","639","null","8995","639","null","null",
"0500000US01103","Morgan County, Alabama","117632","*****","*****","null","111686","null","355","null","5946","355","null","null",
"0500000US01105","Perry County, Alabama","10684","*****","*****","null","10672","null","19","null","12","19","null","null",
"0500000US01107","Pickens County, Alabama","19917","*****","*****","null","19827","null","64","null","90","64","null","null",
"0500000US01109","Pike County, Alabama","32147","*****","*****","null","30903","null","311","null","1244","311","null","null",
"0500000US01111","Randolph County, Alabama","22817","*****","*****","null","22464","null","151","null","353","151","null","null",
"0500000US01113","Russell County, Alabama","51663","*****","*****","null","50877","null","149","null","786","149","null","null",
"0500000US01115","St. Clair County, Alabama","80658","*****","*****","null","79089","null","289","null","1569","289","null","null",
"0500000US01117","Shelby County, Alabama","187880","*****","*****","null","177283","null","614","null","10597","614","null","null",
"0500000US01119","Sumter County, Alabama","13871","*****","*****","null","13857","null","8","null","14","8","null","null",
"0500000US01121","Talladega County, Alabama","82347","*****","*****","null","80821","null","319","null","1526","319","null","null",
"0500000US01123","Tallapoosa County, Alabama","41534","*****","*****","null","40896","null","127","null","638","127","null","null",
"0500000US01125","Tuscaloosa County, Alabama","188331","*****","*****","null","182094","null","534","null","6237","534","null","null",
"0500000US01127","Walker County, Alabama","67612","*****","*****","null","66888","null","195","null","724","195","null","null",
"0500000US01129","Washington County, Alabama","17556","*****","*****","null","17470","null","67","null","86","67","null","null",
"0500000US01131","Wilcox County, Alabama","12012","*****","*****","null","11974","null","45","null","38","45","null","null",
"0500000US01133","Winston County, Alabama","24687","*****","*****","null","24317","null","162","null","370","162","null","null",
"0500000US02013","Aleutians East Borough, Alaska","3703","765","null","null","1028","null","223","null","2675","679","null","null",
"0500000US02016","Aleutians West Census Area, Alaska","6259","1006","null","null","2855","null","555","null","3404","798","null","null",
"0500000US02020","Anchorage Municipality, Alaska","284267","*****","*****","null","257994","null","992","null","26273","992","null","null",
"0500000US02050","Bethel Census Area, Alaska","16838","*****","*****","null","16743","null","50","null","95","50","null","null",
"0500000US02060","Bristol Bay Borough, Alaska","1049","134","null","null","1041","null","133","null","8","12","null","null",
"0500000US02068","Denali Borough, Alaska","1144","304","null","null","1088","null","292","null","56","36","null","null",
"0500000US02070","Dillingham Census Area, Alaska","4817","*****","*****","null","4747","null","37","null","70","37","null","null",
"0500000US02090","Fairbanks North Star Borough, Alaska","94439","*****","*****","null","89597","null","617","null","4842","617","null","null",
"0500000US02100","Haines Borough, Alaska","1658","492","null","null","1648","null","492","null","10","10","null","null",
"0500000US02105","Hoonah-Angoon Census Area, Alaska","2029","196","null","null","1983","null","195","null","46","28","null","null",
"0500000US02110","Juneau City and Borough, Alaska","30975","*****","*****","null","28833","null","252","null","2142","252","null","null",
"0500000US02122","Kenai Peninsula Borough, Alaska","53917","*****","*****","null","52150","null","217","null","1767","217","null","null",
"0500000US02130","Ketchikan Gateway Borough, Alaska","13396","*****","*****","null","12427","null","202","null","969","202","null","null",
"0500000US02150","Kodiak Island Borough, Alaska","13349","*****","*****","null","11151","null","359","null","2198","359","null","null",
"0500000US02164","Lake and Peninsula Borough, Alaska","1626","153","null","null","1596","null","153","null","30","22","null","null",
"0500000US02170","Matanuska-Susitna Borough, Alaska","84147","*****","*****","null","81456","null","369","null","2691","369","null","null",
"0500000US02180","Nome Census Area, Alaska","9315","*****","*****","null","9208","null","60","null","107","60","null","null",
