"GEO_ID","NAME","B05012_001E","B05012_001M","B05012_001MA","B05012_001EA","B05012_002E","B05012_002EA","B05012_002M","B05012_002MA","B05012_003E","B05012_003EA","B05012_003M","B05012_003MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Native","Annotation of Estimate!!Total!!Native","Margin of Error!!Total!!Native","Annotation of Margin of Error!!Total!!Native","Estimate!!Total!!Foreign-Born","Annotation of Estimate!!Total!!Foreign-Born","Margin of Error!!Total!!Foreign-Born","Annotation of Margin of Error!!Total!!Foreign-Born",
"0100000US","United States","314107084","*****","*****","null","273050199","null","102724","null","41056885","null","102798","null",
"0500000US01001","Autauga County, Alabama","55136","*****","*****","null","54364","null","231","null","772","null","231","null",
"0500000US01003","Baldwin County, Alabama","191205","*****","*****","null","184394","null","993","null","6811","null","993","null",
"0500000US01005","Barbour County, Alabama","27119","*****","*****","null","26350","null","133","null","769","null","133","null",
"0500000US01007","Bibb County, Alabama","22653","*****","*****","null","22354","null","81","null","299","null","81","null",
"0500000US01009","Blount County, Alabama","57645","*****","*****","null","55263","null","305","null","2382","null","305","null",
"0500000US01011","Bullock County, Alabama","10693","*****","*****","null","10190","null","445","null","503","null","445","null",
"0500000US01013","Butler County, Alabama","20523","*****","*****","null","20362","null","102","null","161","null","102","null",
"0500000US01015","Calhoun County, Alabama","117186","*****","*****","null","114413","null","343","null","2773","null","343","null",
"0500000US01017","Chambers County, Alabama","34091","*****","*****","null","33745","null","92","null","346","null","92","null",
"0500000US01019","Cherokee County, Alabama","26042","*****","*****","null","25741","null","152","null","301","null","152","null",
"0500000US01021","Chilton County, Alabama","43781","*****","*****","null","41432","null","250","null","2349","null","250","null",
"0500000US01023","Choctaw County, Alabama","13546","*****","*****","null","13516","null","26","null","30","null","26","null",
"0500000US01025","Clarke County, Alabama","25331","*****","*****","null","25191","null","85","null","140","null","85","null",
"0500000US01027","Clay County, Alabama","13617","*****","*****","null","13329","null","48","null","288","null","48","null",
"0500000US01029","Cleburne County, Alabama","14990","*****","*****","null","14843","null","116","null","147","null","116","null",
"0500000US01031","Coffee County, Alabama","50726","*****","*****","null","48422","null","338","null","2304","null","338","null",
"0500000US01033","Colbert County, Alabama","54491","*****","*****","null","53494","null","318","null","997","null","318","null",
"0500000US01035","Conecuh County, Alabama","12985","*****","*****","null","12867","null","53","null","118","null","53","null",
"0500000US01037","Coosa County, Alabama","11247","*****","*****","null","11060","null","73","null","187","null","73","null",
"0500000US01039","Covington County, Alabama","37881","*****","*****","null","37447","null","85","null","434","null","85","null",
"0500000US01041","Crenshaw County, Alabama","13938","*****","*****","null","13621","null","36","null","317","null","36","null",
"0500000US01043","Cullman County, Alabama","80668","*****","*****","null","78378","null","373","null","2290","null","373","null",
"0500000US01045","Dale County, Alabama","50013","*****","*****","null","48472","null","343","null","1541","null","343","null",
"0500000US01047","Dallas County, Alabama","42743","*****","*****","null","42491","null","131","null","252","null","131","null",
"0500000US01049","DeKalb County, Alabama","71074","*****","*****","null","65686","null","388","null","5388","null","388","null",
"0500000US01051","Elmore County, Alabama","80321","*****","*****","null","78808","null","307","null","1513","null","307","null",
"0500000US01053","Escambia County, Alabama","38042","*****","*****","null","37750","null","158","null","292","null","158","null",
"0500000US01055","Etowah County, Alabama","104126","*****","*****","null","101650","null","338","null","2476","null","338","null",
"0500000US01057","Fayette County, Alabama","17019","*****","*****","null","16922","null","82","null","97","null","82","null",
"0500000US01059","Franklin County, Alabama","31663","*****","*****","null","28550","null","235","null","3113","null","235","null",
"0500000US01061","Geneva County, Alabama","26816","*****","*****","null","26275","null","154","null","541","null","154","null",
"0500000US01063","Greene County, Alabama","8798","*****","*****","null","8783","null","22","null","15","null","22","null",
"0500000US01065","Hale County, Alabama","15393","*****","*****","null","15286","null","60","null","107","null","60","null",
