"GEO_ID","NAME","B05012_001E","B05012_001M","B05012_001MA","B05012_001EA","B05012_002E","B05012_002EA","B05012_002M","B05012_002MA","B05012_003E","B05012_003EA","B05012_003M","B05012_003MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Native","Annotation of Estimate!!Total!!Native","Margin of Error!!Total!!Native","Annotation of Margin of Error!!Total!!Native","Estimate!!Total!!Foreign-Born","Annotation of Estimate!!Total!!Foreign-Born","Margin of Error!!Total!!Foreign-Born","Annotation of Margin of Error!!Total!!Foreign-Born",
"0500000US16001","Ada County, Idaho","388174","*****","*****","null","364144","null","1663","null","24030","null","1663","null",
"0500000US16003","Adams County, Idaho","3980","*****","*****","null","3955","null","22","null","25","null","22","null",
"0500000US16005","Bannock County, Idaho","81730","*****","*****","null","79453","null","351","null","2277","null","351","null",
"0500000US16007","Bear Lake County, Idaho","6013","*****","*****","null","5987","null","23","null","26","null","23","null",
"0500000US16009","Benewah County, Idaho","9293","*****","*****","null","9155","null","67","null","138","null","67","null",
"0500000US16011","Bingham County, Idaho","45002","*****","*****","null","41933","null","355","null","3069","null","355","null",
"0500000US16013","Blaine County, Idaho","21354","*****","*****","null","18086","null","401","null","3268","null","401","null",
"0500000US16015","Boise County, Idaho","7094","*****","*****","null","6907","null","82","null","187","null","82","null",
"0500000US16017","Bonner County, Idaho","40849","*****","*****","null","39783","null","237","null","1066","null","237","null",
"0500000US16019","Bonneville County, Idaho","102422","*****","*****","null","97194","null","438","null","5228","null","438","null",
"0500000US16021","Boundary County, Idaho","10845","*****","*****","null","10504","null","126","null","341","null","126","null",
"0500000US16023","Butte County, Idaho","2848","*****","*****","null","2761","null","63","null","87","null","63","null",
"0500000US16025","Camas County, Idaho","1235","123","null","null","1128","null","118","null","107","null","89","null",
"0500000US16027","Canyon County, Idaho","186620","*****","*****","null","170097","null","1034","null","16523","null","1034","null",
"0500000US16029","Caribou County, Idaho","6893","*****","*****","null","6656","null","85","null","237","null","85","null",
"0500000US16031","Cassia County, Idaho","22491","*****","*****","null","20171","null","328","null","2320","null","328","null",
"0500000US16033","Clark County, Idaho","847","123","null","null","582","null","110","null","265","null","83","null",
"0500000US16035","Clearwater County, Idaho","8753","*****","*****","null","8575","null","52","null","178","null","52","null",
"0500000US16037","Custer County, Idaho","4313","*****","*****","null","4260","null","41","null","53","null","41","null",
"0500000US16039","Elmore County, Idaho","26744","*****","*****","null","24454","null","280","null","2290","null","280","null",
"0500000US16041","Franklin County, Idaho","12650","*****","*****","null","12287","null","124","null","363","null","124","null",
"0500000US16043","Fremont County, Idaho","13133","*****","*****","null","12413","null","184","null","720","null","184","null",
"0500000US16045","Gem County, Idaho","16783","*****","*****","null","15991","null","211","null","792","null","211","null",
"0500000US16047","Gooding County, Idaho","15285","*****","*****","null","12964","null","203","null","2321","null","203","null",
"0500000US16049","Idaho County, Idaho","16108","*****","*****","null","15915","null","81","null","193","null","81","null",
"0500000US16051","Jefferson County, Idaho","25291","*****","*****","null","24215","null","169","null","1076","null","169","null",
"0500000US16053","Jerome County, Idaho","21794","*****","*****","null","18397","null","310","null","3397","null","310","null",
"0500000US16055","Kootenai County, Idaho","137178","*****","*****","null","133725","null","440","null","3453","null","440","null",
"0500000US16057","Latah County, Idaho","36932","*****","*****","null","35426","null","273","null","1506","null","273","null",
"0500000US16059","Lemhi County, Idaho","7895","*****","*****","null","7787","null","70","null","108","null","70","null",
"0500000US16061","Lewis County, Idaho","3785","*****","*****","null","3739","null","29","null","46","null","29","null",
"0500000US16063","Lincoln County, Idaho","5106","*****","*****","null","4387","null","141","null","719","null","141","null",
"0500000US16065","Madison County, Idaho","36984","*****","*****","null","35764","null","241","null","1220","null","241","null",
"0500000US16067","Minidoka County, Idaho","19740","*****","*****","null","17649","null","366","null","2091","null","366","null",
"0500000US16069","Nez Perce County, Idaho","39088","*****","*****","null","38427","null","183","null","661","null","183","null",
"0500000US16071","Oneida County, Idaho","4225","*****","*****","null","4189","null","35","null","36","null","35","null",
"0500000US16073","Owyhee County, Idaho","11449","*****","*****","null","10099","null","221","null","1350","null","221","null",
"0500000US16075","Payette County, Idaho","22596","*****","*****","null","21614","null","270","null","982","null","270","null",
"0500000US16077","Power County, Idaho","7671","*****","*****","null","6698","null","146","null","973","null","146","null",
"0500000US16079","Shoshone County, Idaho","12849","*****","*****","null","12634","null","54","null","215","null","54","null",
"0500000US16081","Teton County, Idaho","9786","*****","*****","null","8812","null","128","null","974","null","128","null",
"0500000US16083","Twin Falls County, Idaho","76129","*****","*****","null","70063","null","716","null","6066","null","716","null",
"0500000US16085","Valley County, Idaho","9877","*****","*****","null","9646","null","68","null","231","null","68","null",
"0500000US16087","Washington County, Idaho","10153","*****","*****","null","9237","null","109","null","916","null","109","null",
"0500000US17001","Adams County, Illinois","67045","*****","*****","null","66277","null","160","null","768","null","160","null",
"0500000US17003","Alexander County, Illinois","8314","*****","*****","null","8172","null","73","null","142","null","73","null",
"0500000US17005","Bond County, Illinois","17849","*****","*****","null","17509","null","142","null","340","null","142","null",
"0500000US17007","Boone County, Illinois","54084","*****","*****","null","48364","null","515","null","5720","null","515","null",
"0500000US17009","Brown County, Illinois","6897","*****","*****","null","6722","null","79","null","175","null","79","null",
"0500000US17011","Bureau County, Illinois","34963","*****","*****","null","33785","null","148","null","1178","null","148","null",
"0500000US17013","Calhoun County, Illinois","5093","*****","*****","null","4969","null","64","null","124","null","64","null",
"0500000US17015","Carroll County, Illinois","15474","*****","*****","null","15146","null","97","null","328","null","97","null",
"0500000US17017","Cass County, Illinois","13639","*****","*****","null","12241","null","243","null","1398","null","243","null",
